date,day_of_week,day_of_month,month,day_of_year,is_weekend,is_festival,day_index,orders,revenue
2024-11-12,1,12,11,317,0,1,126,6,8681.82
2024-11-13,2,13,11,318,0,0,127,3,4378.14
2024-11-14,3,14,11,319,0,0,128,2,4060.9
2024-11-15,4,15,11,320,0,0,129,3,3667.83
2024-11-16,5,16,11,321,1,0,130,4,4888.38
2024-11-17,6,17,11,322,1,0,131,4,4612.0
2024-11-18,0,18,11,323,0,0,132,1,4012.19
2024-11-19,1,19,11,324,0,0,133,3,3795.87
2024-11-20,2,20,11,325,0,0,134,3,4153.16
2024-11-21,3,21,11,326,0,0,135,3,4264.33
2024-11-22,4,22,11,327,0,0,136,3,4011.14
2024-11-23,5,23,11,328,1,0,137,4,5926.39
2024-11-24,6,24,11,329,1,0,138,3,5174.94
2024-11-25,0,25,11,330,0,0,139,4,3907.27
2024-11-26,1,26,11,331,0,0,140,2,4285.9
2024-11-27,2,27,11,332,0,0,141,3,3821.92
2024-11-28,3,28,11,333,0,0,142,2,3708.78
2024-11-29,4,29,11,334,0,0,143,3,4641.3
2024-11-30,5,30,11,335,1,0,144,6,6068.94
2024-12-01,6,1,12,336,1,0,145,3,5149.7
2024-12-02,0,2,12,337,0,0,146,2,4015.39
2024-12-03,1,3,12,338,0,0,147,3,4192.55
2024-12-04,2,4,12,339,0,0,148,5,4305.35
2024-12-05,3,5,12,340,0,0,149,4,4509.5
2024-12-06,4,6,12,341,0,0,150,3,3359.8
2024-12-07,5,7,12,342,1,0,151,2,6639.44
2024-12-08,6,8,12,343,1,0,152,4,6073.69
2024-12-09,0,9,12,344,0,0,153,4,3863.62
2024-12-10,1,10,12,345,0,0,154,4,4960.34
2024-12-11,2,11,12,346,0,0,155,2,4092.08
2024-12-12,3,12,12,347,0,0,156,4,4325.31
2024-12-13,4,13,12,348,0,0,157,3,4111.97
2024-12-14,5,14,12,349,1,0,158,7,7428.44
2024-12-15,6,15,12,350,1,0,159,3,6480.96
2024-12-16,0,16,12,351,0,0,160,3,4014.13
2024-12-17,1,17,12,352,0,0,161,5,3899.9
2024-12-18,2,18,12,353,0,0,162,3,4961.19
2024-12-19,3,19,12,354,0,0,163,4,5140.45
2024-12-20,4,20,12,355,0,0,164,4,5509.85
2024-12-21,5,21,12,356,1,0,165,6,6269.35
2024-12-22,6,22,12,357,1,0,166,6,6707.1
2024-12-23,0,23,12,358,0,0,167,4,4357.46
2024-12-24,1,24,12,359,0,0,168,3,4072.42
2024-12-25,2,25,12,360,0,1,169,5,8701.8
2024-12-26,3,26,12,361,0,0,170,5,4485.96
2024-12-27,4,27,12,362,0,0,171,4,4892.64
2024-12-28,5,28,12,363,1,0,172,5,7124.69
2024-12-29,6,29,12,364,1,0,173,2,4917.92
2024-12-30,0,30,12,365,0,0,174,4,3987.87
2024-12-31,1,31,12,366,0,1,175,7,9347.13
2025-01-01,2,1,1,1,0,0,176,3,5287.05
2025-01-02,3,2,1,2,0,0,177,4,4772.32
2025-01-03,4,3,1,3,0,0,178,4,4175.83
2025-01-04,5,4,1,4,1,0,179,4,6010.12
2025-01-05,6,5,1,5,1,0,180,6,7518.93
2025-01-06,0,6,1,6,0,0,181,5,5040.12
2025-01-07,1,7,1,7,0,0,182,4,4326.93
2025-01-08,2,8,1,8,0,0,183,3,4409.66
2025-01-09,3,9,1,9,0,0,184,3,4530.68
2025-01-10,4,10,1,10,0,0,185,4,5056.15
2025-01-11,5,11,1,11,1,0,186,5,6016.23
2025-01-12,6,12,1,12,1,0,187,4,6172.13
2025-01-13,0,13,1,13,0,0,188,4,4738.89
2025-01-14,1,14,1,14,0,1,189,8,10812.82
2025-01-15,2,15,1,15,0,1,190,8,11323.41
2025-01-16,3,16,1,16,0,0,191,2,4447.81
2025-01-17,4,17,1,17,0,0,192,4,5243.39
2025-01-18,5,18,1,18,1,0,193,6,6600.7
2025-01-19,6,19,1,19,1,0,194,3,6174.25
2025-01-20,0,20,1,20,0,0,195,4,4850.75
2025-01-21,1,21,1,21,0,0,196,5,4704.41
2025-01-22,2,22,1,22,0,0,197,4,3640.91
2025-01-23,3,23,1,23,0,0,198,4,5244.24
2025-01-24,4,24,1,24,0,0,199,4,3247.98
2025-01-25,5,25,1,25,1,0,200,4,5921.31
2025-01-26,6,26,1,26,1,0,201,5,6504.55
2025-01-27,0,27,1,27,0,0,202,5,5230.0
2025-01-28,1,28,1,28,0,0,203,4,5331.65
2025-01-29,2,29,1,29,0,0,204,3,5148.79
2025-01-30,3,30,1,30,0,0,205,4,4584.55
2025-01-31,4,31,1,31,0,0,206,5,5386.48
2025-02-01,5,1,2,32,1,0,207,6,6382.03
2025-02-02,6,2,2,33,1,0,208,6,5962.77
2025-02-03,0,3,2,34,0,0,209,5,4879.71
2025-02-04,1,4,2,35,0,0,210,5,4259.27
2025-02-05,2,5,2,36,0,0,211,3,4854.57
2025-02-06,3,6,2,37,0,0,212,3,5147.96
2025-02-07,4,7,2,38,0,0,213,3,5025.79
2025-02-08,5,8,2,39,1,0,214,5,6371.1
2025-02-09,6,9,2,40,1,0,215,4,6249.21
2025-02-10,0,10,2,41,0,0,216,3,4400.07
2025-02-11,1,11,2,42,0,0,217,3,5783.16
2025-02-12,2,12,2,43,0,0,218,4,4749.88
2025-02-13,3,13,2,44,0,0,219,6,4946.46
2025-02-14,4,14,2,45,0,0,220,4,5065.24
2025-02-15,5,15,2,46,1,0,221,7,7624.56
2025-02-16,6,16,2,47,1,0,222,5,7145.75
2025-02-17,0,17,2,48,0,0,223,5,6233.32
2025-02-18,1,18,2,49,0,0,224,3,4966.0
2025-02-19,2,19,2,50,0,0,225,4,4307.66
2025-02-20,3,20,2,51,0,0,226,3,3992.7
2025-02-21,4,21,2,52,0,0,227,6,5121.77
2025-02-22,5,22,2,53,1,0,228,3,5777.98
2025-02-23,6,23,2,54,1,0,229,5,6991.57
2025-02-24,0,24,2,55,0,0,230,4,4971.81
2025-02-25,1,25,2,56,0,0,231,4,4607.33
2025-02-26,2,26,2,57,0,0,232,3,4055.39
2025-02-27,3,27,2,58,0,0,233,5,4973.83
2025-02-28,4,28,2,59,0,0,234,4,6231.93
2025-03-01,5,1,3,60,1,0,235,6,8167.09
2025-03-02,6,2,3,61,1,0,236,7,6488.86
2025-03-03,0,3,3,62,0,0,237,4,5607.52
2025-03-04,1,4,3,63,0,0,238,5,5706.02
2025-03-05,2,5,3,64,0,0,239,3,5311.1
2025-03-06,3,6,3,65,0,0,240,5,5212.01
2025-03-07,4,7,3,66,0,0,241,5,5299.7
2025-03-08,5,8,3,67,1,1,242,12,16573.2
2025-03-09,6,9,3,68,1,0,243,5,6307.57
2025-03-10,0,10,3,69,0,0,244,4,5107.79
2025-03-11,1,11,3,70,0,0,245,3,5010.59
2025-03-12,2,12,3,71,0,0,246,5,5975.24
2025-03-13,3,13,3,72,0,0,247,4,5033.04
2025-03-14,4,14,3,73,0,0,248,5,6168.25
2025-03-15,5,15,3,74,1,0,249,5,7762.14
2025-03-16,6,16,3,75,1,0,250,8,8090.07
2025-03-17,0,17,3,76,0,0,251,3,5010.85
2025-03-18,1,18,3,77,0,0,252,5,5543.68
2025-03-19,2,19,3,78,0,0,253,3,5404.51
2025-03-20,3,20,3,79,0,0,254,5,5401.18
2025-03-21,4,21,3,80,0,0,255,5,5243.89
2025-03-22,5,22,3,81,1,0,256,6,8247.74
2025-03-23,6,23,3,82,1,0,257,6,7374.09
2025-03-24,0,24,3,83,0,0,258,3,5013.5
2025-03-25,1,25,3,84,0,0,259,4,5341.68
2025-03-26,2,26,3,85,0,0,260,6,5051.59
2025-03-27,3,27,3,86,0,0,261,5,6691.58
2025-03-28,4,28,3,87,0,0,262,4,5552.44
2025-03-29,5,29,3,88,1,0,263,7,8256.65
2025-03-30,6,30,3,89,1,0,264,5,6116.77
2025-03-31,0,31,3,90,0,0,265,5,4793.49
2025-04-01,1,1,4,91,0,0,266,3,5760.61
2025-04-02,2,2,4,92,0,0,267,4,5387.85
2025-04-03,3,3,4,93,0,0,268,5,5814.36
2025-04-04,4,4,4,94,0,0,269,6,4892.6
2025-04-05,5,5,4,95,1,0,270,6,8664.22
2025-04-06,6,6,4,96,1,0,271,7,7523.3
2025-04-07,0,7,4,97,0,0,272,4,6217.27
2025-04-08,1,8,4,98,0,0,273,7,5987.87
2025-04-09,2,9,4,99,0,0,274,4,5597.12
2025-04-10,3,10,4,100,0,0,275,4,5636.09
2025-04-11,4,11,4,101,0,0,276,4,5251.32
2025-04-12,5,12,4,102,1,0,277,4,6544.7
2025-04-13,6,13,4,103,1,0,278,4,8052.36
2025-04-14,0,14,4,104,0,1,279,8,13301.12
2025-04-15,1,15,4,105,0,0,280,3,4585.61
2025-04-16,2,16,4,106,0,0,281,6,5705.26
2025-04-17,3,17,4,107,0,0,282,4,5578.31
2025-04-18,4,18,4,108,0,0,283,4,5867.78
2025-04-19,5,19,4,109,1,0,284,4,7591.6
2025-04-20,6,20,4,110,1,0,285,6,7548.45
2025-04-21,0,21,4,111,0,0,286,4,5099.02
2025-04-22,1,22,4,112,0,0,287,5,5632.03
2025-04-23,2,23,4,113,0,0,288,3,4653.04
2025-04-24,3,24,4,114,0,0,289,5,5120.46
2025-04-25,4,25,4,115,0,0,290,5,5957.98
2025-04-26,5,26,4,116,1,0,291,6,6950.85
2025-04-27,6,27,4,117,1,0,292,3,6330.86
2025-04-28,0,28,4,118,0,0,293,4,4828.47
2025-04-29,1,29,4,119,0,0,294,1,5905.85
2025-04-30,2,30,4,120,0,0,295,5,6261.28
2025-05-01,3,1,5,121,0,0,296,4,4660.61
2025-05-02,4,2,5,122,0,0,297,5,6127.78
2025-05-03,5,3,5,123,1,0,298,5,8272.76
2025-05-04,6,4,5,124,1,0,299,4,7140.74
2025-05-05,0,5,5,125,0,0,300,5,6461.55
2025-05-06,1,6,5,126,0,0,301,5,7079.66
2025-05-07,2,7,5,127,0,0,302,4,5107.82
2025-05-08,3,8,5,128,0,0,303,4,6261.34
2025-05-09,4,9,5,129,0,0,304,4,5567.05
2025-05-10,5,10,5,130,1,0,305,5,7446.49
2025-05-11,6,11,5,131,1,0,306,5,7309.26
2025-05-12,0,12,5,132,0,0,307,5,5480.72
2025-05-13,1,13,5,133,0,0,308,4,6444.73
2025-05-14,2,14,5,134,0,0,309,3,5260.19
2025-05-15,3,15,5,135,0,0,310,4,5571.84
2025-05-16,4,16,5,136,0,0,311,5,5595.07
2025-05-17,5,17,5,137,1,0,312,5,5507.61
2025-05-18,6,18,5,138,1,0,313,6,7022.29
2025-05-19,0,19,5,139,0,0,314,5,4958.38
2025-05-20,1,20,5,140,0,0,315,5,5937.41
2025-05-21,2,21,5,141,0,0,316,4,5865.32
2025-05-22,3,22,5,142,0,0,317,5,5091.5
2025-05-23,4,23,5,143,0,0,318,5,5005.03
2025-05-24,5,24,5,144,1,0,319,6,7073.04
2025-05-25,6,25,5,145,1,0,320,6,8832.78
2025-05-26,0,26,5,146,0,0,321,5,5437.71
2025-05-27,1,27,5,147,0,0,322,4,5906.47
2025-05-28,2,28,5,148,0,0,323,4,5107.77
2025-05-29,3,29,5,149,0,0,324,4,6157.39
2025-05-30,4,30,5,150,0,0,325,4,5413.01
2025-05-31,5,31,5,151,1,0,326,6,7751.37
2025-06-01,6,1,6,152,1,0,327,4,6504.45
2025-06-02,0,2,6,153,0,0,328,2,4278.78
2025-06-03,1,3,6,154,0,0,329,6,5763.37
2025-06-04,2,4,6,155,0,0,330,5,5696.73
2025-06-05,3,5,6,156,0,0,331,5,5255.58
2025-06-06,4,6,6,157,0,0,332,6,5466.64
2025-06-07,5,7,6,158,1,0,333,7,7092.52
2025-06-08,6,8,6,159,1,0,334,7,7776.48
2025-06-09,0,9,6,160,0,0,335,4,4224.77
2025-06-10,1,10,6,161,0,0,336,3,5212.4
2025-06-11,2,11,6,162,0,0,337,3,4489.17
2025-06-12,3,12,6,163,0,0,338,3,5279.4
2025-06-13,4,13,6,164,0,0,339,4,4478.77
2025-06-14,5,14,6,165,1,0,340,6,7695.67
2025-06-15,6,15,6,166,1,0,341,6,7879.28
2025-06-16,0,16,6,167,0,0,342,3,5196.38
2025-06-17,1,17,6,168,0,0,343,5,4401.62
2025-06-18,2,18,6,169,0,0,344,3,5794.77
2025-06-19,3,19,6,170,0,0,345,4,5277.19
2025-06-20,4,20,6,171,0,0,346,3,5044.52
2025-06-21,5,21,6,172,1,0,347,6,7255.32
2025-06-22,6,22,6,173,1,0,348,5,7256.39
2025-06-23,0,23,6,174,0,0,349,5,5076.29
2025-06-24,1,24,6,175,0,0,350,4,5386.09
2025-06-25,2,25,6,176,0,0,351,4,5119.19
2025-06-26,3,26,6,177,0,0,352,4,4887.54
2025-06-27,4,27,6,178,0,0,353,3,4567.13
2025-06-28,5,28,6,179,1,0,354,4,7316.81
2025-06-29,6,29,6,180,1,0,355,4,5799.35
2025-06-30,0,30,6,181,0,0,356,2,4224.53
2025-07-01,1,1,7,182,0,0,357,4,5461.71
2025-07-02,2,2,7,183,0,0,358,3,5718.86
2025-07-03,3,3,7,184,0,0,359,4,5009.82
2025-07-04,4,4,7,185,0,0,360,4,4456.43
2025-07-05,5,5,7,186,1,0,361,4,7147.34
2025-07-06,6,6,7,187,1,0,362,5,6760.79
2025-07-07,0,7,7,188,0,0,363,2,4720.81
2025-07-08,1,8,7,189,0,0,364,6,5146.13
2025-07-09,2,9,7,190,0,0,365,5,4803.24
2025-07-10,3,10,7,191,0,0,366,4,4611.38
2025-07-11,4,11,7,192,0,0,367,4,5360.37
2025-07-12,5,12,7,193,1,0,368,6,6504.98
2025-07-13,6,13,7,194,1,0,369,6,7956.64
2025-07-14,0,14,7,195,0,0,370,3,4691.08
2025-07-15,1,15,7,196,0,0,371,5,6180.19
2025-07-16,2,16,7,197,0,0,372,2,4633.6
2025-07-17,3,17,7,198,0,0,373,3,4018.83
2025-07-18,4,18,7,199,0,0,374,4,5227.91
2025-07-19,5,19,7,200,1,0,375,4,6600.92
2025-07-20,6,20,7,201,1,0,376,5,6685.37
2025-07-21,0,21,7,202,0,0,377,5,4616.45
2025-07-22,1,22,7,203,0,0,378,4,4460.35
2025-07-23,2,23,7,204,0,0,379,4,5270.42
2025-07-24,3,24,7,205,0,0,380,2,4757.4
2025-07-25,4,25,7,206,0,0,381,4,5496.23
2025-07-26,5,26,7,207,1,0,382,6,6870.91
2025-07-27,6,27,7,208,1,0,383,4,6099.12
2025-07-28,0,28,7,209,0,0,384,3,5453.66
2025-07-29,1,29,7,210,0,0,385,4,5824.4
2025-07-30,2,30,7,211,0,0,386,3,4228.07
2025-07-31,3,31,7,212,0,0,387,2,5841.15
2025-08-01,4,1,8,213,0,0,388,4,4708.39
2025-08-02,5,2,8,214,1,0,389,5,6457.14
2025-08-03,6,3,8,215,1,0,390,4,5962.61
2025-08-04,0,4,8,216,0,0,391,2,4679.42
2025-08-05,1,5,8,217,0,0,392,3,4720.35
2025-08-06,2,6,8,218,0,0,393,4,4510.78
2025-08-07,3,7,8,219,0,0,394,3,3864.83
2025-08-08,4,8,8,220,0,0,395,3,5810.2
2025-08-09,5,9,8,221,1,0,396,5,7174.64
2025-08-10,6,10,8,222,1,0,397,3,5964.22
2025-08-11,0,11,8,223,0,0,398,5,4759.34
2025-08-12,1,12,8,224,0,0,399,3,4503.88
2025-08-13,2,13,8,225,0,0,400,4,5151.65
2025-08-14,3,14,8,226,0,0,401,3,3937.17
2025-08-15,4,15,8,227,0,1,402,9,11814.04
2025-08-16,5,16,8,228,1,0,403,4,4564.07
2025-08-17,6,17,8,229,1,0,404,3,6154.14
2025-08-18,0,18,8,230,0,0,405,4,3864.43
2025-08-19,1,19,8,231,0,0,406,2,4298.18
2025-08-20,2,20,8,232,0,0,407,3,4615.04
2025-08-21,3,21,8,233,0,0,408,3,4671.69
2025-08-22,4,22,8,234,0,0,409,3,4065.12
2025-08-23,5,23,8,235,1,0,410,5,6504.2
2025-08-24,6,24,8,236,1,0,411,7,6169.87
2025-08-25,0,25,8,237,0,0,412,5,4939.06
2025-08-26,1,26,8,238,0,0,413,4,4521.02
2025-08-27,2,27,8,239,0,0,414,4,4394.27
2025-08-28,3,28,8,240,0,0,415,4,4536.69
2025-08-29,4,29,8,241,0,0,416,3,4656.22
2025-08-30,5,30,8,242,1,0,417,5,7996.35
2025-08-31,6,31,8,243,1,0,418,5,5757.35
2025-09-01,0,1,9,244,0,0,419,3,4297.65
2025-09-02,1,2,9,245,0,0,420,4,4069.65
2025-09-03,2,3,9,246,0,0,421,3,4791.96
2025-09-04,3,4,9,247,0,0,422,2,4884.22
2025-09-05,4,5,9,248,0,0,423,3,4233.06
2025-09-06,5,6,9,249,1,0,424,2,5424.68
2025-09-07,6,7,9,250,1,1,425,11,13094.44
2025-09-08,0,8,9,251,0,0,426,3,5129.12
2025-09-09,1,9,9,252,0,0,427,4,4876.88
2025-09-10,2,10,9,253,0,0,428,3,5094.85
2025-09-11,3,11,9,254,0,0,429,3,3722.94
2025-09-12,4,12,9,255,0,0,430,2,4077.47
2025-09-13,5,13,9,256,1,0,431,4,5938.92
2025-09-14,6,14,9,257,1,0,432,5,6208.09
2025-09-15,0,15,9,258,0,0,433,4,4366.48
2025-09-16,1,16,9,259,0,0,434,4,4538.91
2025-09-17,2,17,9,260,0,0,435,3,4445.98
2025-09-18,3,18,9,261,0,0,436,3,4361.26
2025-09-19,4,19,9,262,0,0,437,2,4175.62
2025-09-20,5,20,9,263,1,0,438,4,6590.66
2025-09-21,6,21,9,264,1,0,439,5,5921.2
2025-09-22,0,22,9,265,0,0,440,4,4371.23
2025-09-23,1,23,9,266,0,0,441,2,4263.8
2025-09-24,2,24,9,267,0,0,442,4,3809.63
2025-09-25,3,25,9,268,0,0,443,4,4018.15
2025-09-26,4,26,9,269,0,0,444,4,4081.41
2025-09-27,5,27,9,270,1,0,445,4,7475.63
2025-09-28,6,28,9,271,1,0,446,5,5461.98
2025-09-29,0,29,9,272,0,0,447,4,4773.15
2025-09-30,1,30,9,273,0,0,448,5,4281.84
2025-10-01,2,1,10,274,0,0,449,2,4598.61
2025-10-02,3,2,10,275,0,0,450,2,4432.56
2025-10-03,4,3,10,276,0,0,451,3,5274.63
2025-10-04,5,4,10,277,1,0,452,4,6450.47
2025-10-05,6,5,10,278,1,0,453,2,5773.75
2025-10-06,0,6,10,279,0,0,454,5,4833.81
2025-10-07,1,7,10,280,0,0,455,2,4146.77
2025-10-08,2,8,10,281,0,0,456,2,4936.1
2025-10-09,3,9,10,282,0,0,457,3,5131.21
2025-10-10,4,10,10,283,0,0,458,3,4073.0
2025-10-11,5,11,10,284,1,0,459,3,5544.71
2025-10-12,6,12,10,285,1,1,460,8,14108.97
2025-10-13,0,13,10,286,0,0,461,4,5347.87
2025-10-14,1,14,10,287,0,0,462,2,4004.39
2025-10-15,2,15,10,288,0,0,463,4,5061.49
2025-10-16,3,16,10,289,0,0,464,3,5250.34
2025-10-17,4,17,10,290,0,0,465,4,4754.14
2025-10-18,5,18,10,291,1,0,466,6,6676.03
2025-10-19,6,19,10,292,1,0,467,4,5802.8
2025-10-20,0,20,10,293,0,0,468,3,4354.54
2025-10-21,1,21,10,294,0,0,469,2,4969.13
2025-10-22,2,22,10,295,0,0,470,3,5168.29
2025-10-23,3,23,10,296,0,0,471,5,4516.65
2025-10-24,4,24,10,297,0,1,472,8,10606.01
2025-10-25,5,25,10,298,1,0,473,3,5567.26
2025-10-26,6,26,10,299,1,0,474,5,6919.08
2025-10-27,0,27,10,300,0,0,475,4,4460.67
2025-10-28,1,28,10,301,0,0,476,3,4208.11
2025-10-29,2,29,10,302,0,0,477,4,4731.01
2025-10-30,3,30,10,303,0,0,478,3,4475.36
2025-10-31,4,31,10,304,0,0,479,4,4219.53
2025-11-01,5,1,11,305,1,1,480,11,13135.11
2025-11-02,6,2,11,306,1,0,481,4,6267.4
2025-11-03,0,3,11,307,0,0,482,3,4646.12
2025-11-04,1,4,11,308,0,0,483,4,5250.95
2025-11-05,2,5,11,309,0,0,484,5,4648.16
2025-11-06,3,6,11,310,0,0,485,5,5034.47
2025-11-07,4,7,11,311,0,0,486,3,5406.51
2025-11-08,5,8,11,312,1,0,487,7,7140.92
2025-11-09,6,9,11,313,1,0,488,7,7511.36
2025-11-10,0,10,11,314,0,0,489,4,5303.94
2025-11-11,1,11,11,315,0,0,490,3,4441.86
2025-11-12,2,12,11,316,0,1,491,8,8911.59
2025-11-13,3,13,11,317,0,0,492,5,4733.91
2025-11-14,4,14,11,318,0,0,493,4,4282.78
2025-11-15,5,15,11,319,1,0,494,3,6283.54
2025-11-16,6,16,11,320,1,0,495,7,7706.28
