prod_category,prod_subcategory,prod_price,month,week_of_year,is_festival_week,units_sold_last_week,avg_sales_4wk,current_stock,units_sold_next_week
Newborn,Onesie,499.0,1,4,0,11.13,9.18,15,5.36
Newborn,Onesie,499.0,1,5,0,5.36,8.0,5,5.05
Newborn,Onesie,499.0,2,6,0,5.05,8.04,13,5.97
Newborn,Onesie,499.0,2,7,0,5.97,6.88,10,6.37
Newborn,Onesie,499.0,2,8,0,6.37,5.69,4,6.34
Newborn,Onesie,499.0,2,9,0,6.34,5.93,7,5.17
Newborn,Onesie,499.0,3,10,1,5.17,5.96,4,15.61
Newborn,Onesie,499.0,3,11,0,15.61,8.37,5,8.14
Newborn,Onesie,499.0,3,12,0,8.14,8.82,5,6.92
Newborn,Onesie,499.0,3,13,0,6.92,8.96,6,7.14
Newborn,Onesie,499.0,4,14,0,7.14,9.46,19,6.57
Newborn,Onesie,499.0,4,15,1,6.57,7.2,6,13.35
Newborn,Onesie,499.0,4,16,0,13.35,8.5,12,4.79
Newborn,Onesie,499.0,4,17,0,4.79,7.96,5,6.19
Newborn,Onesie,499.0,4,18,0,6.19,7.73,11,6.15
Newborn,Onesie,499.0,5,19,0,6.15,7.62,14,7.94
Newborn,Onesie,499.0,5,20,0,7.94,6.27,12,5.82
Newborn,Onesie,499.0,5,21,0,5.82,6.53,8,7.47
Newborn,Onesie,499.0,5,22,0,7.47,6.85,7,5.91
Newborn,Onesie,499.0,6,23,0,5.91,6.78,9,5.41
Newborn,Onesie,499.0,6,24,0,5.41,6.15,8,4.33
Newborn,Onesie,499.0,6,25,0,4.33,5.78,9,5.81
Newborn,Onesie,499.0,6,26,0,5.81,5.37,5,4.81
Newborn,Onesie,499.0,7,27,0,4.81,5.09,9,4.13
Newborn,Romper,699.0,7,28,0,5.28,5.28,4,5.58
Newborn,Romper,699.0,7,29,0,5.58,5.36,3,5.26
Newborn,Romper,699.0,7,30,0,5.26,5.35,6,5.2
Newborn,Romper,699.0,8,31,0,5.2,5.33,10,4.76
Newborn,Romper,699.0,8,32,0,4.76,5.2,6,4.19
Newborn,Romper,699.0,8,33,1,4.19,4.85,5,7.76
Newborn,Romper,699.0,8,34,0,7.76,5.48,3,5.46
Newborn,Romper,699.0,8,35,0,5.46,5.54,8,4.86
Newborn,Romper,699.0,9,36,1,4.86,5.57,6,9.93
Newborn,Romper,699.0,9,37,0,9.93,7.0,11,4.2
Newborn,Romper,699.0,9,38,0,4.2,6.11,7,3.76
Newborn,Romper,699.0,9,39,0,3.76,5.69,5,3.69
Newborn,Romper,699.0,10,40,0,3.69,5.39,7,4.29
Newborn,Romper,699.0,10,41,1,4.29,3.99,5,7.57
Newborn,Romper,699.0,10,42,0,7.57,4.83,7,3.19
Newborn,Romper,699.0,10,43,1,3.19,4.69,6,9.39
Newborn,Romper,699.0,10,44,1,9.39,6.11,10,10.05
Newborn,Romper,699.0,11,45,1,10.05,7.55,8,8.22
Newborn,Romper,699.0,11,46,0,8.22,7.71,14,3.53
Newborn,Romper,699.0,11,47,0,3.53,7.8,6,4.76
Newborn,Romper,699.0,11,48,0,4.76,6.64,11,4.63
Newborn,Romper,699.0,12,49,0,4.63,5.28,10,4.59
Newborn,Romper,699.0,12,50,0,4.59,4.38,3,5.3
Newborn,Romper,699.0,12,51,1,5.3,4.82,3,10.37
Newborn,Romper,699.0,12,52,1,10.37,6.22,8,11.07
Newborn,Romper,699.0,1,1,0,11.07,7.83,5,5.39
Newborn,Romper,699.0,1,2,1,5.39,8.03,8,9.72
Newborn,Romper,699.0,1,3,0,9.72,9.14,5,4.92
Newborn,Romper,699.0,1,4,0,4.92,7.77,12,5.72
Newborn,Romper,699.0,1,5,0,5.72,6.44,4,6.6
Newborn,Romper,699.0,2,6,0,6.6,6.74,12,6.01
Newborn,Romper,699.0,2,7,0,6.01,5.81,8,5.46
Newborn,Romper,699.0,2,8,0,5.46,5.95,4,6.26
Newborn,Romper,699.0,2,9,0,6.26,6.08,5,6.38
Newborn,Romper,699.0,3,10,1,6.38,6.03,6,11.14
Newborn,Romper,699.0,3,11,0,11.14,7.31,8,8.13
Newborn,Romper,699.0,3,12,0,8.13,7.98,5,7.13
Newborn,Romper,699.0,3,13,0,7.13,8.19,8,6.22
Newborn,Romper,699.0,4,14,0,6.22,8.16,12,8.11
Newborn,Romper,699.0,4,15,1,8.11,7.4,14,13.32
Newborn,Romper,699.0,4,16,0,13.32,8.7,7,6.55
Newborn,Romper,699.0,4,17,0,6.55,8.55,10,7.57
Newborn,Romper,699.0,5,18,0,7.57,8.89,17,7.01
Newborn,Romper,699.0,5,19,0,7.01,8.61,12,6.59
Newborn,Romper,699.0,5,20,0,6.59,6.93,4,5.71
Newborn,Romper,699.0,5,21,0,5.71,6.72,5,5.98
Newborn,Romper,699.0,5,22,0,5.98,6.32,6,5.74
Newborn,Romper,699.0,6,23,0,5.74,6.0,9,5.24
Newborn,Romper,699.0,6,24,0,5.24,5.67,7,7.62
Newborn,Romper,699.0,6,25,0,7.62,6.14,6,6.23
Newborn,Romper,699.0,6,26,0,6.23,6.21,8,5.24
Newborn,Romper,699.0,7,27,0,5.24,6.08,4,5.56
Newborn,Romper,699.0,7,28,0,5.56,6.16,10,5.03
Newborn,Romper,699.0,7,29,0,5.03,5.52,5,4.45
Newborn,Romper,699.0,7,30,0,4.45,5.07,5,3.64
Newborn,Romper,699.0,7,31,0,3.64,4.67,9,5.11
Newborn,Romper,699.0,8,32,0,5.11,4.56,4,4.7
Newborn,Romper,699.0,8,33,1,4.7,4.47,4,10.71
Newborn,Romper,699.0,8,34,0,10.71,6.04,12,4.14
Newborn,Romper,699.0,8,35,0,4.14,6.16,6,5.17
Newborn,Romper,699.0,9,36,1,5.17,6.18,12,10.35
Newborn,Romper,699.0,9,37,0,10.35,7.59,15,3.39
Newborn,Romper,699.0,9,38,0,3.39,5.76,8,4.89
Newborn,Romper,699.0,9,39,0,4.89,5.95,10,4.75
Newborn,Romper,699.0,10,40,0,4.75,5.84,8,4.2
Newborn,Romper,699.0,10,41,1,4.2,4.31,6,9.92
Newborn,Romper,699.0,10,42,0,9.92,5.94,6,4.87
Newborn,Romper,699.0,10,43,1,4.87,5.94,5,8.8
Newborn,Romper,699.0,10,44,1,8.8,6.95,9,6.83
Newborn,Romper,699.0,11,45,1,6.83,7.61,14,8.56
Newborn,Romper,699.0,11,46,0,8.56,7.27,5,5.19
Newborn,Romper,699.0,11,47,0,5.19,7.35,14,4.83
Newborn,Romper,699.0,11,48,0,4.83,6.35,9,4.41
Newborn,Romper,699.0,12,49,0,4.41,5.75,11,4.87
Newborn,Romper,699.0,12,50,0,4.87,4.83,9,5.03
Newborn,Romper,699.0,12,51,0,5.03,4.79,2,4.46
Newborn,Romper,699.0,12,52,1,4.46,4.7,5,9.67
Newborn,Romper,699.0,1,1,0,9.67,6.01,9,7.09
Newborn,Romper,699.0,1,2,1,7.09,6.57,6,7.0
Newborn,Romper,699.0,1,3,1,7.0,7.06,12,11.23
Newborn,Romper,699.0,1,4,0,11.23,8.75,16,6.54
Newborn,Romper,699.0,1,5,0,6.54,7.96,9,5.84
Newborn,Romper,699.0,2,6,0,5.84,7.65,9,5.42
Newborn,Romper,699.0,2,7,0,5.42,7.26,14,5.73
Newborn,Romper,699.0,2,8,0,5.73,5.88,4,7.82
Newborn,Romper,699.0,2,9,0,7.82,6.2,4,6.8
Newborn,Romper,699.0,3,10,1,6.8,6.44,7,13.62
Newborn,Romper,699.0,3,11,0,13.62,8.49,15,6.23
Newborn,Romper,699.0,3,12,0,6.23,8.62,12,6.58
Newborn,Romper,699.0,3,13,0,6.58,8.3,15,5.46
Newborn,Romper,699.0,4,14,0,5.46,7.97,14,8.22
Newborn,Romper,699.0,4,15,1,8.22,6.62,13,17.19
Newborn,Romper,699.0,4,16,0,17.19,9.36,15,7.02
Newborn,Romper,699.0,4,17,0,7.02,9.47,8,6.33
Newborn,Romper,699.0,4,18,0,6.33,9.69,11,6.41
Newborn,Romper,699.0,5,19,0,6.41,9.24,14,6.64
Newborn,Romper,699.0,5,20,0,6.64,6.6,10,5.22
Newborn,Romper,699.0,5,21,0,5.22,6.15,11,5.76
Newborn,Romper,699.0,5,22,0,5.76,6.01,12,5.08
Newborn,Romper,699.0,6,23,0,5.08,5.68,3,6.42
Newborn,Romper,699.0,6,24,0,6.42,5.62,3,4.63
Newborn,Romper,699.0,6,25,0,4.63,5.47,6,4.83
Newborn,Romper,699.0,6,26,0,4.83,5.24,10,6.12
Newborn,Romper,699.0,7,27,0,6.12,5.5,9,5.5
Women,Top,4999.0,7,28,0,4.86,4.86,9,5.93
Women,Top,4999.0,7,29,0,5.93,5.13,6,4.4
Women,Top,4999.0,7,30,0,4.4,5.01,5,4.4
Women,Top,4999.0,8,31,0,4.4,4.9,6,5.34
Women,Top,4999.0,8,32,0,5.34,5.02,5,5.01
Women,Top,4999.0,8,33,1,5.01,4.79,6,9.49
Women,Top,4999.0,8,34,0,9.49,6.06,9,3.69
Women,Top,4999.0,8,35,0,3.69,5.88,7,3.67
Women,Top,4999.0,9,36,1,3.67,5.47,9,7.94
Women,Top,4999.0,9,37,0,7.94,6.2,11,3.91
Women,Top,4999.0,9,38,0,3.91,4.8,7,1.95
Women,Top,4999.0,9,39,0,1.95,4.37,4,3.51
Women,Top,4999.0,10,40,0,3.51,4.33,5,3.72
Women,Top,4999.0,10,41,1,3.72,3.27,3,7.82
Women,Top,4999.0,10,42,0,7.82,4.25,5,4.59
Women,Top,4999.0,10,43,1,4.59,4.91,3,9.62
Women,Top,4999.0,10,44,1,9.62,6.44,4,8.92
Women,Top,4999.0,11,45,1,8.92,7.74,5,6.54
Women,Top,4999.0,11,46,0,6.54,7.42,7,4.96
Women,Top,4999.0,11,47,0,4.96,7.51,9,4.72
Women,Top,4999.0,11,48,0,4.72,6.28,9,4.97
Women,Top,4999.0,12,49,0,4.97,5.3,10,4.06
Women,Top,4999.0,12,50,0,4.06,4.68,8,5.62
Women,Top,4999.0,12,51,1,5.62,4.84,6,9.18
Women,Top,4999.0,12,52,1,9.18,5.96,4,8.64
Women,Top,4999.0,1,1,0,8.64,6.87,8,5.49
Women,Top,4999.0,1,2,1,5.49,7.23,11,10.02
Women,Top,4999.0,1,3,0,10.02,8.33,12,5.66
Women,Top,4999.0,1,4,0,5.66,7.45,12,5.0
Women,Top,4999.0,1,5,0,5.0,6.54,13,4.55
Women,Top,4999.0,2,6,0,4.55,6.31,4,5.18
Women,Top,4999.0,2,7,0,5.18,5.1,4,4.55
Women,Top,4999.0,2,8,0,4.55,4.82,4,6.22
Women,Top,4999.0,2,9,0,6.22,5.12,4,3.8
Women,Top,4999.0,3,10,1,3.8,4.94,4,13.51
Women,Top,4999.0,3,11,0,13.51,7.02,13,4.81
Women,Top,4999.0,3,12,0,4.81,7.09,4,6.72
Women,Top,4999.0,3,13,0,6.72,7.21,10,6.35
Women,Top,4999.0,4,14,0,6.35,7.85,7,4.21
Women,Top,4999.0,4,15,1,4.21,5.52,8,12.07
Women,Top,4999.0,4,16,0,12.07,7.34,5,4.72
Women,Top,4999.0,4,17,0,4.72,6.84,10,5.98
Women,Top,4999.0,5,18,0,5.98,6.75,7,5.22
Women,Top,4999.0,5,19,0,5.22,7.0,10,4.09
Women,Top,4999.0,5,20,0,4.09,5.0,5,6.02
Women,Top,4999.0,5,21,0,6.02,5.33,9,5.46
Women,Top,4999.0,5,22,0,5.46,5.2,7,5.44
Women,Top,4999.0,6,23,0,5.44,5.25,5,3.94
Women,Top,4999.0,6,24,0,3.94,5.21,3,3.79
Women,Top,4999.0,6,25,0,3.79,4.66,4,4.89
Women,Top,4999.0,6,26,0,4.89,4.52,4,5.7
Women,Top,4999.0,7,27,0,5.7,4.58,5,5.38
Women,Top,4999.0,7,28,0,5.38,4.94,4,5.08
Women,Top,4999.0,7,29,0,5.08,5.26,5,5.53
Women,Top,4999.0,7,30,0,5.53,5.42,5,4.14
Women,Top,4999.0,7,31,0,4.14,5.03,8,4.76
Women,Top,4999.0,8,32,0,4.76,4.88,9,3.32
Women,Top,4999.0,8,33,1,3.32,4.44,4,11.34
Women,Top,4999.0,8,34,0,11.34,5.89,8,3.69
Women,Top,4999.0,8,35,0,3.69,5.78,10,4.34
Women,Top,4999.0,9,36,1,4.34,5.68,10,10.06
Women,Top,4999.0,9,37,0,10.06,7.36,5,3.75
Women,Top,4999.0,9,38,0,3.75,5.46,7,4.18
Women,Top,4999.0,9,39,0,4.18,5.59,4,4.03
Women,Top,4999.0,10,40,0,4.03,5.51,4,3.67
Women,Top,4999.0,10,41,1,3.67,3.91,5,7.12
Women,Top,4999.0,10,42,0,7.12,4.75,6,3.25
Women,Top,4999.0,10,43,1,3.25,4.52,7,4.81
Women,Top,4999.0,10,44,1,4.81,4.71,3,7.88
Women,Top,4999.0,11,45,1,7.88,5.76,9,7.33
Women,Top,4999.0,11,46,0,7.33,5.82,10,2.36
Women,Top,4999.0,11,47,0,2.36,5.59,9,3.77
Women,Top,4999.0,11,48,0,3.77,5.33,6,4.74
Women,Top,4999.0,12,49,0,4.74,4.55,8,4.53
Women,Top,4999.0,12,50,0,4.53,3.85,3,5.27
Women,Top,4999.0,12,51,0,5.27,4.58,4,4.38
Women,Top,4999.0,12,52,1,4.38,4.73,4,8.0
Women,Top,4999.0,1,1,0,8.0,5.54,5,5.36
Women,Top,4999.0,1,2,1,5.36,5.75,9,11.06
Women,Top,4999.0,1,3,1,11.06,7.2,13,10.72
Women,Top,4999.0,1,4,0,10.72,8.78,6,4.63
Women,Top,4999.0,1,5,0,4.63,7.94,11,5.39
Women,Top,4999.0,2,6,0,5.39,7.95,10,4.53
Women,Top,4999.0,2,7,0,4.53,6.32,9,4.95
Women,Top,4999.0,2,8,0,4.95,4.87,8,6.63
Women,Top,4999.0,2,9,0,6.63,5.37,9,5.27
Women,Top,4999.0,3,10,1,5.27,5.34,7,13.09
Women,Top,4999.0,3,11,0,13.09,7.49,13,6.11
Women,Top,4999.0,3,12,0,6.11,7.78,5,7.3
Women,Top,4999.0,3,13,0,7.3,7.94,16,4.41
Women,Top,4999.0,4,14,0,4.41,7.73,12,6.14
Women,Top,4999.0,4,15,1,6.14,5.99,5,12.14
Women,Top,4999.0,4,16,0,12.14,7.5,10,4.5
Women,Top,4999.0,4,17,0,4.5,6.8,8,5.2
Women,Top,4999.0,4,18,0,5.2,7.0,11,5.52
Women,Top,4999.0,5,19,0,5.52,6.84,12,7.49
Women,Top,4999.0,5,20,0,7.49,5.68,7,5.09
Women,Top,4999.0,5,21,0,5.09,5.82,11,4.63
Women,Top,4999.0,5,22,0,4.63,5.68,8,4.32
Women,Top,4999.0,6,23,0,4.32,5.38,6,4.1
Women,Top,4999.0,6,24,0,4.1,4.53,3,6.92
Women,Top,4999.0,6,25,0,6.92,4.99,8,5.24
Women,Top,4999.0,6,26,0,5.24,5.14,4,4.27
Women,Top,4999.0,7,27,0,4.27,5.13,10,5.85
Kids,Frock,2999.0,7,28,0,2.88,2.88,2,3.56
